set_id,draw_order,semantic_control_indices,episodic_control_indices,semantic_control_labels,episodic_control_labels,mean_standardized_match_distance
153,episodic_first,83;266;10;198;65;273;85;227;92;250;355;81;4,59;292;5;185;104;320;179;195;15;309;175;331;156;319;9;224;323;279;285,L_46;R_9a;L_PEF;R_V3B;L_47m;R_47s;L_9-46d;R_LIPv;L_OFC;R_9p;R_STSva;L_IFSa;L_V3,L_p32pr;R_FOP1;L_V4;R_V4;L_PFcm;R_TPOJ3;L_p24;R_V7;L_V7;R_STSvp;L_STSva;R_V6A;L_FST;R_TPOJ2;L_FEF;R_7Am;R_IP2;R_OP4;R_PoI2,0.9093924243900033
154,semantic_first,72;277;164;337;20;273;107;257;61;259;185;153;4,146;279;98;250;175;342;109;326;179;355;45;266;48;205;52;230;233;268;188,L_8C;R_s6-8;L_s32;R_V3CD;L_LO2;R_47s;L_FOP4;R_6r;L_d32;R_IFJp;R_V4;L_VMV3;L_V3,L_PFop;R_OP4;L_43;R_9p;L_STSva;R_VVC;L_Pir;R_PFop;L_p24;R_STSva;L_7PL;R_9a;L_VIP;R_SFL;L_3a;R_1;R_6d;R_a10p;R_3b,1.0083565197236302
155,episodic_first,57;278;58;350;75;298;3;256;93;334;273;82;114,12;294;169;221;157;347;48;300;139;225;105;319;50;208;9;226;189;292;205,L_33pr;R_43;L_a24pr;R_p47r;L_47l;R_PreS;L_V2;R_a47r;L_47s;R_PHA2;R_47s;L_p9-46v;L_FOP2,L_V3A;R_FOP2;L_p10p;R_7AL;L_V3CD;R_Ig;L_VIP;R_ProS;L_TPOJ2;R_7PL;L_PoI2;R_TPOJ2;L_1;R_7Pm;L_FEF;R_7PC;R_FEF;R_FOP1;R_SFL,0.9397805868991294
156,semantic_first,40;275;79;198;168;332;178;249;155;333;225;16;104,48;192;143;251;157;274;113;232;27;250;167;273;43;328;144;228;188;254;234,L_24dv;R_6a;L_IFJp;R_V3B;L_FOP5;R_VMV1;L_a32pr;R_8BL;L_V4t;R_VMV3;R_7PL;L_IPS1;L_PFcm,L_VIP;R_V3A;L_IP2;R_10d;L_V3CD;R_LIPd;L_FOP3;R_3a;L_STV;R_9p;L_Ig;R_47s;L_6ma;R_PFm;L_IP1;R_VIP;R_3b;R_45;R_6mp,1.0531332705230643
157,episodic_first,144;259;40;305;22;271;39;349;154;245;317;99;112,166;292;91;195;169;326;175;228;12;319;146;207;37;230;36;285;296;264;260,L_IP1;R_IFJp;L_24dv;R_PHA1;L_MT;R_13l;L_24dd;R_p10p;L_PHA2;R_47m;R_PH;L_OP4;L_FOP1,L_PoI1;R_FOP1;L_13l;R_V7;L_p10p;R_PFop;L_STSva;R_VIP;L_V3A;R_TPOJ2;L_PFop;R_STV;L_23c;R_1;L_5mv;R_PoI2;R_AIP;R_a9-46v;R_IFSp,0.8682782386404058
158,semantic_first,143;256;89;220;125;200;71;278;117;344;331;84;4,59;192;47;326;38;273;2;300;17;205;157;251;115;257;37;193;266;201;321,L_IP2;R_a47r;L_10pp;R_24dv;L_PHA1;R_LO2;L_10d;R_43;L_EC;R_s32;R_V6A;L_a9-46v;L_V3,L_p32pr;R_V3A;L_LIPv;R_PFop;L_5L;R_47s;L_V6;R_ProS;L_FFC;R_SFL;L_V3CD;R_10d;L_PFt;R_6r;L_23c;R_RSC;R_9a;R_PIT;R_DVT,0.9713524459630373
159,episodic_first,136;296;97;186;154;298;71;266;159;334;325;75;101,138;202;129;207;157;273;113;319;94;309;108;355;25;229;50;233;188;320;237,L_PHT;R_AIP;L_s6-8;R_V8;L_PHA2;R_PreS;L_10d;R_9a;L_VMV2;R_PHA2;R_IP0;L_47l;L_OP2-3,L_TPOJ1;R_MT;L_STSvp;R_STV;L_V3CD;R_47s;L_FOP3;R_TPOJ2;L_LIPd;R_STSvp;L_MI;R_STSva;L_SFL;R_MIP;L_1;R_6d;R_3b;R_TPOJ3;R_33pr,0.8756716202055539
160,semantic_first,107;188;111;251;11;245;81;266;88;306;278;4;141,175;331;104;269;79;358;143;332;70;260;2;288;50;346;83;218;293;202;237,L_FOP4;R_3b;L_AAIC;R_10d;L_55b;R_47m;L_IFSa;R_9a;L_a10p;R_PHA3;R_43;L_V3;L_DVT,L_STSva;R_V6A;L_PFcm;R_10pp;L_IFJp;R_a32pr;L_IP2;R_VMV1;L_9p;R_IFSp;L_V6;R_MI;L_1;R_PoI1;L_46;R_5L;R_FOP3;R_MT;R_33pr,1.075777912295816
161,episodic_first,128;257;35;241;71;305;4;348;169;190;288;168;47,46;331;38;195;108;185;179;286;28;269;146;326;30;285;95;295;253;258;233,L_STSdp;R_6r;L_5m;R_d32;L_10d;R_PHA1;L_V3;R_FOP5;L_p10p;R_PEF;R_MI;L_FOP5;L_LIPv,L_7PC;R_V6A;L_5L;R_V7;L_MI;R_V4;L_p24;R_TA2;L_7Pm;R_10pp;L_PFop;R_PFop;L_POS1;R_PoI2;L_6a;R_PFt;R_44;R_IFJa;R_6d,0.9887294453340064
162,semantic_first,39;259;139;305;82;298;57;239;118;300;288;153;3,27;347;5;232;24;293;146;326;108;207;157;251;104;285;46;295;188;220;233,L_24dd;R_IFJp;L_TPOJ2;R_PHA1;L_p9-46v;R_PreS;L_33pr;R_p32pr;L_PreS;R_ProS;R_MI;L_VMV3;L_V2,L_STV;R_Ig;L_V4;R_3a;L_PSL;R_FOP3;L_PFop;R_PFop;L_MI;R_STV;L_V3CD;R_10d;L_PFcm;R_PoI2;L_7PC;R_PFt;R_3b;R_24dv;R_6d,1.014062475435338
163,episodic_first,72;256;63;198;118;305;11;229;19;245;347;61;156,166;294;47;185;114;195;94;342;151;266;139;225;44;308;148;285;293;337;263,L_8C;R_a47r;L_p32;R_V3B;L_PreS;R_PHA1;L_55b;R_MIP;L_LO1;R_47m;R_Ig;L_d32;L_FST,L_PoI1;R_FOP2;L_LIPv;R_V4;L_FOP2;R_V7;L_LIPd;R_VVC;L_V6A;R_9a;L_TPOJ2;R_7PL;L_7Am;R_STSdp;L_PFm;R_PoI2;R_FOP3;R_V3CD;R_46,0.744573118755585
164,semantic_first,59;319;63;197;118;201;17;255;117;359;355;75;53,83;289;101;286;18;347;167;269;140;261;108;195;107;285;43;232;229;220;227,L_p32pr;R_TPOJ2;L_p32;R_FFC;L_PreS;R_PIT;L_FFC;R_47l;L_EC;R_p24;R_STSva;L_47l;L_6d,L_46;R_Pir;L_OP2-3;R_TA2;L_V3B;R_Ig;L_Ig;R_10pp;L_TPOJ3;R_IFSa;L_MI;R_V7;L_FOP4;R_PoI2;L_6ma;R_3a;R_MIP;R_24dv;R_LIPv,0.9128888643794093
165,episodic_first,28;256;178;271;76;320;57;257;89;299;215;93;112,144;336;91;235;113;218;109;198;139;300;105;319;3;224;128;285;321;241;237,L_7Pm;R_a47r;L_a32pr;R_13l;L_a47r;R_TPOJ3;L_33pr;R_6r;L_10pp;R_H;R_5m;L_47s;L_FOP1,L_IP1;R_FST;L_13l;R_6v;L_FOP3;R_5L;L_Pir;R_V3B;L_TPOJ2;R_ProS;L_PoI2;R_TPOJ2;L_V2;R_7Am;L_STSdp;R_PoI2;R_DVT;R_d32;R_33pr,0.9264815390673492
166,semantic_first,86;275;60;197;84;190;42;227;117;334;278;6;0,108;337;74;251;114;286;139;309;94;295;2;196;156;233;30;232;230;349;234,L_9a;R_6a;L_a24;R_FFC;L_a9-46v;R_PEF;L_SCEF;R_LIPv;L_EC;R_PHA2;R_43;L_V8;L_V1,L_MI;R_V3CD;L_45;R_10d;L_FOP2;R_TA2;L_TPOJ2;R_STSvp;L_LIPd;R_PFt;L_V6;R_IPS1;L_FST;R_6d;L_POS1;R_3a;R_1;R_p10p;R_6mp,0.9392565187907542
167,episodic_first,49;227;91;258;22;264;69;349;65;298;198;153;115,27;180;16;266;151;238;55;286;179;291;15;320;128;328;43;285;319;336;234,L_MIP;R_LIPv;L_13l;R_IFJa;L_MT;R_a9-46v;L_8BL;R_p10p;L_47m;R_PreS;R_V3B;L_VMV3;L_PFt,L_STV;R_V1;L_IPS1;R_9a;L_V6A;R_a24pr;L_6v;R_TA2;L_p24;R_AAIC;L_V7;R_TPOJ3;L_STSdp;R_PFm;L_6ma;R_PoI2;R_TPOJ2;R_FST;R_6mp,0.9470030918112151
168,semantic_first,136;256;79;268;168;305;81;349;118;333;355;61;16,73;281;4;221;108;215;15;319;94;274;70;331;30;205;37;187;288;181;252,L_PHT;R_a47r;L_IFJp;R_a10p;L_FOP5;R_PHA1;L_IFSa;R_p10p;L_PreS;R_VMV3;R_STSva;L_d32;L_IPS1,L_44;R_OP2-3;L_V3;R_7AL;L_MI;R_5m;L_V7;R_TPOJ2;L_LIPd;R_LIPd;L_9p;R_V6A;L_POS1;R_SFL;L_23c;R_4;R_MI;R_MST;R_8C,0.8801406666878326
169,episodic_first,129;256;97;336;76;264;69;288;117;333;320;11;113,144;241;177;326;169;274;146;218;151;232;175;331;147;296;141;217;189;271;257,L_STSvp;R_a47r;L_s6-8;R_FST;L_a47r;R_a9-46v;L_8BL;R_MI;L_EC;R_VMV3;R_TPOJ3;L_55b;L_FOP3,L_IP1;R_d32;L_PI;R_PFop;L_p10p;R_LIPd;L_PFop;R_5L;L_V6A;R_3a;L_STSva;R_V6A;L_PF;R_AIP;L_DVT;R_23c;R_FEF;R_13l;R_6r,0.9442934367959359
170,semantic_first,83;205;125;220;164;199;88;230;58;238;331;75;99,128;183;98;250;115;198;146;309;59;232;109;227;25;308;144;208;207;254;217,L_46;R_SFL;L_PHA1;R_24dv;L_s32;R_LO1;L_a10p;R_1;L_a24pr;R_a24pr;R_V6A;L_47l;L_OP4,L_STSdp;R_V2;L_43;R_9p;L_PFt;R_V3B;L_PFop;R_STSvp;L_p32pr;R_3a;L_Pir;R_LIPv;L_SFL;R_STSdp;L_IP1;R_7Pm;R_STV;R_45;R_23c,0.9120783272830564
171,episodic_first,73;261;1;201;89;301;11;348;118;305;278;96;16,129;281;99;185;24;225;139;295;158;266;28;320;107;346;30;253;205;289;229,L_44;R_IFSa;L_MST;R_PIT;L_10pp;R_PeEc;L_55b;R_FOP5;L_PreS;R_PHA1;R_43;L_i6-8;L_IPS1,L_STSvp;R_OP2-3;L_OP4;R_V4;L_PSL;R_7PL;L_TPOJ2;R_PFt;L_LO3;R_9a;L_7Pm;R_TPOJ3;L_FOP4;R_PoI1;L_POS1;R_44;R_SFL;R_Pir;R_MIP,0.9355921054671257
172,semantic_first,52;259;22;241;154;273;170;254;125;306;331;116;99,12;279;78;274;145;320;146;332;38;185;151;195;30;285;37;208;325;335;189,L_3a;R_IFJp;L_MT;R_d32;L_PHA2;R_47s;L_p47r;R_45;L_PHA1;R_PHA3;R_V6A;L_AIP;L_OP4,L_V3A;R_OP4;L_IFJa;R_LIPd;L_IP0;R_TPOJ3;L_PFop;R_VMV1;L_5L;R_V4;L_V6A;R_V7;L_POS1;R_PoI2;L_23c;R_7Pm;R_IP0;R_V4t;R_FEF,0.9170177522129958
173,episodic_first,57;222;179;238;121;202;72;196;154;269;293;71;0,55;192;4;266;48;358;59;274;139;259;157;225;137;285;43;205;227;316;210,L_33pr;R_SCEF;L_p24;R_a24pr;L_PeEc;R_MT;L_8C;R_IPS1;L_PHA2;R_10pp;R_FOP3;L_10d;L_V1,L_6v;R_V3A;L_V3;R_9a;L_VIP;R_a32pr;L_p32pr;R_LIPd;L_TPOJ2;R_IFJp;L_V3CD;R_7PL;L_PH;R_PoI2;L_6ma;R_SFL;R_LIPv;R_PHT;R_POS1,0.9146589592535518
174,semantic_first,83;221;159;186;71;268;11;358;121;236;316;90;115,143;202;4;300;18;250;108;195;2;326;80;319;47;217;14;226;256;289;261,L_46;R_7AL;L_VMV2;R_V8;L_10d;R_a10p;L_55b;R_a32pr;L_PeEc;R_p24pr;R_PHT;L_11l;L_PFt,L_IP2;R_MT;L_V3;R_ProS;L_V3B;R_9p;L_MI;R_V7;L_V6;R_PFop;L_IFSp;R_TPOJ2;L_LIPv;R_23c;L_POS2;R_7PC;R_a47r;R_Pir;R_IFSa,0.8946787901631246
175,episodic_first,43;296;15;245;125;200;116;255;93;291;251;84;53,146;294;99;309;101;274;79;355;157;261;94;326;14;295;49;328;253;289;263,L_6ma;R_AIP;L_V7;R_47m;L_PHA1;R_LO2;L_AIP;R_47l;L_47s;R_AAIC;R_10d;L_a9-46v;L_6d,L_PFop;R_FOP2;L_OP4;R_STSvp;L_OP2-3;R_LIPd;L_IFJp;R_STSva;L_V3CD;R_IFSa;L_LIPd;R_PFop;L_POS2;R_PFt;L_MIP;R_PFm;R_44;R_Pir;R_46,0.9704708824857068
176,semantic_first,43;205;164;220;22;305;107;249;60;245;207;20;53,49;281;137;295;48;225;145;228;157;319;151;349;47;224;144;188;321;239;275,L_6ma;R_SFL;L_s32;R_24dv;L_MT;R_PHA1;L_FOP4;R_8BL;L_a24;R_47m;R_STV;L_LO2;L_6d,L_MIP;R_OP2-3;L_PH;R_PFt;L_VIP;R_7PL;L_IP0;R_VIP;L_V3CD;R_TPOJ2;L_V6A;R_p10p;L_LIPv;R_7Am;L_IP1;R_3b;R_DVT;R_p32pr;R_6a,0.8809435399447348
177,episodic_first,52;221;164;305;154;200;42;189;91;238;331;92;115,146;292;137;218;151;274;27;185;18;319;175;300;156;323;128;230;253;220;188,L_3a;R_7AL;L_s32;R_PHA1;L_PHA2;R_LO2;L_SCEF;R_FEF;L_13l;R_a24pr;R_V6A;L_OFC;L_PFt,L_PFop;R_FOP1;L_PH;R_5L;L_V6A;R_LIPd;L_STV;R_V4;L_V3B;R_TPOJ2;L_STSva;R_ProS;L_FST;R_IP2;L_STSdp;R_1;R_44;R_24dv;R_3b,0.834957125632501
178,semantic_first,107;277;125;272;22;349;42;275;153;338;218;92;16,12;316;156;232;167;185;24;331;59;235;18;295;53;285;128;234;293;292;252,L_FOP4;R_s6-8;L_PHA1;R_OFC;L_MT;R_p10p;L_SCEF;R_6a;L_VMV3;R_LO3;R_5L;L_OFC;L_IPS1,L_V3A;R_PHT;L_FST;R_3a;L_Ig;R_V4;L_PSL;R_V6A;L_p32pr;R_6v;L_V3B;R_PFt;L_6d;R_PoI2;L_STSdp;R_6mp;R_FOP3;R_FOP1;R_8C,0.9720609804232503
179,episodic_first,28;288;15;220;82;272;5;227;65;342;326;78;137,48;281;38;218;24;320;146;300;97;323;138;274;52;235;141;328;317;249;346,L_7Pm;R_MI;L_V7;R_24dv;L_p9-46v;R_OFC;L_V4;R_LIPv;L_47m;R_VVC;R_PFop;L_IFJa;L_PH,L_VIP;R_OP2-3;L_5L;R_5L;L_PSL;R_TPOJ3;L_PFop;R_ProS;L_s6-8;R_IP2;L_TPOJ1;R_LIPd;L_3a;R_6v;L_DVT;R_PFm;R_PH;R_8BL;R_PoI1,0.98646289120041
180,semantic_first,77;317;140;338;121;305;85;348;118;342;319;116;107,73;281;47;228;175;251;59;207;94;185;157;196;147;257;30;233;321;249;308,L_6r;R_PH;L_TPOJ3;R_LO3;L_PeEc;R_PHA1;L_9-46d;R_FOP5;L_PreS;R_VVC;R_TPOJ2;L_AIP;L_FOP4,L_44;R_OP2-3;L_LIPv;R_VIP;L_STSva;R_10d;L_p32pr;R_STV;L_LIPd;R_V4;L_V3CD;R_IPS1;L_PF;R_6r;L_POS1;R_6d;R_DVT;R_8BL;R_STSdp,0.9476407859839969
181,episodic_first,166;256;158;336;20;289;111;227;92;271;331;69;24,59;183;113;300;114;320;55;306;157;269;12;266;43;328;36;205;217;350;321,L_PoI1;R_a47r;L_LO3;R_FST;L_LO2;R_Pir;L_AAIC;R_LIPv;L_OFC;R_13l;R_V6A;L_8BL;L_PSL,L_p32pr;R_V2;L_FOP3;R_ProS;L_FOP2;R_TPOJ3;L_6v;R_PHA3;L_V3CD;R_10pp;L_V3A;R_9a;L_6ma;R_PFm;L_5mv;R_SFL;R_23c;R_p47r;R_DVT,0.9851637402998504
182,semantic_first,43;237;10;289;61;331;178;348;88;332;293;6;156,48;316;5;342;47;207;108;286;145;323;2;185;8;308;73;285;208;350;233,L_6ma;R_33pr;L_PEF;R_Pir;L_d32;R_V6A;L_a32pr;R_FOP5;L_a10p;R_VMV1;R_FOP3;L_V8;L_FST,L_VIP;R_PHT;L_V4;R_VVC;L_LIPv;R_STV;L_MI;R_TA2;L_IP0;R_IP2;L_V6;R_V4;L_3b;R_STSdp;L_44;R_PoI2;R_7Pm;R_p47r;R_6d,0.8881453876342783
183,episodic_first,166;222;125;245;88;358;81;223;121;195;274;69;177,55;182;113;342;24;218;143;302;94;221;138;317;43;233;107;295;293;337;188,L_PoI1;R_SCEF;L_PHA1;R_47m;L_a10p;R_a32pr;L_IFSa;R_6ma;L_PeEc;R_V7;R_LIPd;L_8BL;L_PI,L_6v;R_V6;L_FOP3;R_VVC;L_PSL;R_5L;L_IP2;R_STGa;L_LIPd;R_7AL;L_TPOJ1;R_PH;L_6ma;R_6d;L_FOP4;R_PFt;R_FOP3;R_V3CD;R_3b,0.9429527768696455
184,semantic_first,136;257;179;264;84;274;81;196;89;238;182;82;141,146;200;78;317;24;293;157;207;12;300;108;358;47;205;43;295;185;336;266,L_PHT;R_6r;L_p24;R_a9-46v;L_a9-46v;R_LIPd;L_IFSa;R_IPS1;L_10pp;R_a24pr;R_V6;L_p9-46v;L_DVT,L_PFop;R_LO2;L_IFJa;R_PH;L_PSL;R_FOP3;L_V3CD;R_STV;L_V3A;R_ProS;L_MI;R_a32pr;L_LIPv;R_SFL;L_6ma;R_PFt;R_V4;R_FST;R_9a,0.9301447435192598
185,episodic_first,107;295;140;241;82;305;116;256;60;238;274;92;24,166;358;156;208;79;286;49;235;139;357;28;326;25;308;147;285;233;268;184,L_FOP4;R_PFt;L_TPOJ3;R_d32;L_p9-46v;R_PHA1;L_AIP;R_a47r;L_a24;R_a24pr;R_LIPd;L_OFC;L_PSL,L_PoI1;R_a32pr;L_FST;R_7Pm;L_IFJp;R_TA2;L_MIP;R_6v;L_TPOJ2;R_PI;L_7Pm;R_PFop;L_SFL;R_STSdp;L_PF;R_PoI2;R_6d;R_a10p;R_V3,0.9763408547526549
186,semantic_first,3;205;158;349;19;301;82;223;88;338;229;91;98,49;331;156;261;100;238;140;185;94;217;157;266;104;226;37;193;317;292;196,L_V2;R_SFL;L_LO3;R_p10p;L_LO1;R_PeEc;L_p9-46v;R_6ma;L_a10p;R_LO3;R_MIP;L_13l;L_43,L_MIP;R_V6A;L_FST;R_IFSa;L_OP1;R_a24pr;L_TPOJ3;R_V4;L_LIPd;R_23c;L_V3CD;R_9a;L_PFcm;R_7PC;L_23c;R_RSC;R_PH;R_FOP1;R_IPS1,0.9926138697619629
187,episodic_first,136;263;58;336;121;332;88;275;65;339;273;72;4,105;199;137;274;129;195;18;269;94;296;138;293;43;233;37;205;189;348;234,L_PHT;R_46;L_a24pr;R_FST;L_PeEc;R_VMV1;L_a10p;R_6a;L_47m;R_VMV2;R_47s;L_8C;L_V3,L_PoI2;R_LO1;L_PH;R_LIPd;L_STSvp;R_V7;L_V3B;R_10pp;L_LIPd;R_AIP;L_TPOJ1;R_FOP3;L_6ma;R_6d;L_23c;R_SFL;R_FEF;R_FOP5;R_6mp,1.0293417544663863
188,semantic_first,80;227;22;337;21;264;88;196;154;332;317;118;90,55;192;104;195;169;325;2;285;38;274;83;250;24;230;49;252;234;220;228,L_IFSp;R_LIPv;L_MT;R_V3CD;L_PIT;R_a9-46v;L_a10p;R_IPS1;L_PHA2;R_VMV1;R_PH;L_PreS;L_11l,L_6v;R_V3A;L_PFcm;R_V7;L_p10p;R_IP0;L_V6;R_PoI2;L_5L;R_LIPd;L_46;R_9p;L_PSL;R_1;L_MIP;R_8C;R_6mp;R_24dv;R_VIP,0.9920539174807315
189,episodic_first,66;196;151;305;82;320;76;257;159;333;349;0;177,175;294;169;195;108;306;105;326;94;235;157;218;129;229;54;221;207;258;253,L_8Av;R_IPS1;L_V6A;R_PHA1;L_p9-46v;R_TPOJ3;L_a47r;R_6r;L_VMV2;R_VMV3;R_p10p;L_V1;L_PI,L_STSva;R_FOP2;L_p10p;R_V7;L_MI;R_PHA3;L_PoI2;R_PFop;L_LIPd;R_6v;L_V3CD;R_5L;L_STSvp;R_MIP;L_6mp;R_7AL;R_STV;R_IFJa;R_44,0.9602113958770524
190,semantic_first,45;266;155;305;93;255;57;239;1;345;331;71;76,59;241;24;207;18;326;109;185;15;355;2;274;14;233;77;323;217;254;296,L_7PL;R_9a;L_V4t;R_PHA1;L_47s;R_47l;L_33pr;R_p32pr;L_MST;R_pOFC;R_V6A;L_10d;L_a47r,L_p32pr;R_d32;L_PSL;R_STV;L_V3B;R_PFop;L_Pir;R_V4;L_V7;R_STSva;L_V6;R_LIPd;L_POS2;R_6d;L_6r;R_IP2;R_23c;R_45;R_AIP,0.950573531882166
191,episodic_first,143;188;35;238;153;251;70;227;22;269;274;19;104,80;279;113;323;101;358;138;195;45;250;144;278;50;226;128;252;317;349;257,L_IP2;R_3b;L_5m;R_a24pr;L_VMV3;R_10d;L_9p;R_LIPv;L_MT;R_10pp;R_LIPd;L_LO1;L_PFcm,L_IFSp;R_OP4;L_FOP3;R_IP2;L_OP2-3;R_a32pr;L_TPOJ1;R_V7;L_7PL;R_9p;L_IP1;R_43;L_1;R_7PC;L_STSdp;R_8C;R_PH;R_p10p;R_6r,0.8912072572181766
192,semantic_first,105;317;122;359;71;339;81;189;159;198;293;76;104,9;292;96;309;79;274;15;208;113;185;80;228;43;229;166;235;218;268;232,L_PoI2;R_PH;L_STGa;R_p24;L_10d;R_VMV2;L_IFSa;R_FEF;L_VMV2;R_V3B;R_FOP3;L_a47r;L_PFcm,L_FEF;R_FOP1;L_i6-8;R_STSvp;L_IFJp;R_LIPd;L_V7;R_7Pm;L_FOP3;R_V4;L_IFSp;R_VIP;L_6ma;R_MIP;L_PoI1;R_6v;R_5L;R_a10p;R_3a,0.8506713621375998
193,episodic_first,45;221;155;201;21;320;136;278;154;301;185;1;115,138;241;16;319;156;339;143;357;146;235;2;309;54;328;9;252;230;197;188,L_7PL;R_7AL;L_V4t;R_PIT;L_PIT;R_TPOJ3;L_PHT;R_43;L_PHA2;R_PeEc;R_V4;L_MST;L_PFt,L_TPOJ1;R_d32;L_IPS1;R_TPOJ2;L_FST;R_VMV2;L_IP2;R_PI;L_PFop;R_6v;L_V6;R_STSvp;L_6mp;R_PFm;L_FEF;R_8C;R_1;R_FFC;R_3b,0.9259773714711244
194,semantic_first,96;261;140;220;125;332;5;196;92;344;218;90;99,37;281;156;319;129;245;48;342;146;250;45;273;44;327;147;232;230;268;260,L_i6-8;R_IFSa;L_TPOJ3;R_24dv;L_PHA1;R_VMV1;L_V4;R_IPS1;L_OFC;R_s32;R_5L;L_11l;L_OP4,L_23c;R_OP2-3;L_FST;R_TPOJ2;L_STSvp;R_47m;L_VIP;R_VVC;L_PFop;R_9p;L_7PL;R_47s;L_7Am;R_PF;L_PF;R_3a;R_1;R_a10p;R_IFSp,0.9789614725761299
195,episodic_first,96;188;165;241;21;320;111;358;10;251;250;20;104,12;287;76;342;98;271;138;319;113;309;27;207;24;205;144;328;229;349;317,L_i6-8;R_3b;L_pOFC;R_d32;L_PIT;R_TPOJ3;L_AAIC;R_a32pr;L_PEF;R_10d;R_9p;L_LO2;L_PFcm,L_V3A;R_FOP4;L_a47r;R_VVC;L_43;R_13l;L_TPOJ1;R_TPOJ2;L_FOP3;R_STSvp;L_STV;R_STV;L_PSL;R_SFL;L_IP1;R_PFm;R_MIP;R_p10p;R_PH,0.9963603088311518
196,semantic_first,39;205;159;264;121;332;69;249;165;238;355;71;115,73;202;169;232;143;198;2;228;15;217;94;317;141;188;144;308;252;358;257,L_24dd;R_SFL;L_VMV2;R_a9-46v;L_PeEc;R_VMV1;L_8BL;R_8BL;L_pOFC;R_a24pr;R_STSva;L_10d;L_PFt,L_44;R_MT;L_p10p;R_3a;L_IP2;R_V3B;L_V6;R_VIP;L_V7;R_23c;L_LIPd;R_PH;L_DVT;R_3b;L_IP1;R_STSdp;R_8C;R_a32pr;R_6r,0.8904527611204508
197,episodic_first,80;229;89;245;20;320;85;355;118;198;347;21;78,9;202;24;295;143;225;55;274;94;228;2;309;137;285;50;296;288;272;253,L_IFSp;R_MIP;L_10pp;R_47m;L_LO2;R_TPOJ3;L_9-46d;R_STSva;L_PreS;R_V3B;R_Ig;L_PIT;L_IFJa,L_FEF;R_MT;L_PSL;R_PFt;L_IP2;R_7PL;L_6v;R_LIPd;L_LIPd;R_VIP;L_V6;R_STSvp;L_PH;R_PoI2;L_1;R_AIP;R_MI;R_OFC;R_44,0.9257472304059281
198,semantic_first,129;295;164;271;71;190;57;223;35;306;325;81;115,27;180;104;326;101;215;80;274;139;263;45;185;30;235;95;323;288;279;233,L_STSvp;R_PFt;L_s32;R_13l;L_10d;R_PEF;L_33pr;R_6ma;L_5m;R_PHA3;R_IP0;L_IFSa;L_PFt,L_STV;R_V1;L_PFcm;R_PFop;L_OP2-3;R_5m;L_IFSp;R_LIPd;L_TPOJ2;R_46;L_7PL;R_V4;L_POS1;R_6v;L_6a;R_IP2;R_MI;R_OP4;R_6d,0.9413587781770018
199,episodic_first,70;225;178;220;19;301;11;288;6;334;198;168;74,144;292;78;195;114;326;94;218;179;208;15;293;47;233;147;229;317;199;252,L_9p;R_7PL;L_a32pr;R_24dv;L_LO1;R_PeEc;L_55b;R_MI;L_V8;R_PHA2;R_V3B;L_FOP5;L_45,L_IP1;R_FOP1;L_IFJa;R_V7;L_FOP2;R_PFop;L_LIPd;R_5L;L_p24;R_7Pm;L_V7;R_FOP3;L_LIPv;R_6d;L_PF;R_MIP;R_PH;R_LO1;R_8C,0.8170489924804732
200,semantic_first,43;259;165;239;92;201;61;237;1;245;273;22;53,9;281;38;261;113;342;146;221;151;274;83;325;46;224;80;234;253;197;217,L_6ma;R_IFJp;L_pOFC;R_p32pr;L_OFC;R_PIT;L_d32;R_33pr;L_MST;R_47m;R_47s;L_MT;L_6d,L_FEF;R_OP2-3;L_5L;R_IFSa;L_FOP3;R_VVC;L_PFop;R_7AL;L_V6A;R_LIPd;L_46;R_IP0;L_7PC;R_7Am;L_IFSp;R_6mp;R_44;R_FFC;R_23c,1.0373950684042152
201,episodic_first,54;260;35;238;22;273;96;230;71;306;198;99;98,45;281;129;228;156;218;139;300;48;323;12;355;25;188;50;226;208;289;253,L_6mp;R_IFSp;L_5m;R_a24pr;L_MT;R_47s;L_i6-8;R_1;L_10d;R_PHA3;R_V3B;L_OP4;L_43,L_7PL;R_OP2-3;L_STSvp;R_VIP;L_FST;R_5L;L_TPOJ2;R_ProS;L_VIP;R_IP2;L_V3A;R_STSva;L_SFL;R_3b;L_1;R_7PC;R_7Pm;R_Pir;R_44,0.8973307288173946
202,semantic_first,57;260;165;349;22;298;52;189;169;344;182;75;98,77;254;53;207;104;218;145;286;55;225;179;309;115;233;144;232;205;289;253,L_33pr;R_IFSp;L_pOFC;R_p10p;L_MT;R_PreS;L_3a;R_FEF;L_p10p;R_s32;R_V6;L_47l;L_43,L_6r;R_45;L_6d;R_STV;L_PFcm;R_5L;L_IP0;R_TA2;L_6v;R_7PL;L_p24;R_STSvp;L_PFt;R_6d;L_IP1;R_3a;R_SFL;R_Pir;R_44,0.9212190384414732
203,episodic_first,83;208;15;298;6;350;111;256;164;190;274;168;116,37;219;74;259;79;357;108;235;48;342;86;326;44;252;43;328;221;272;230,L_46;R_7Pm;L_V7;R_PreS;L_V8;R_p47r;L_AAIC;R_a47r;L_s32;R_PEF;R_LIPd;L_FOP5;L_AIP,L_23c;R_24dd;L_45;R_IFJp;L_IFJp;R_PI;L_MI;R_6v;L_VIP;R_VVC;L_9a;R_PFop;L_7Am;R_8C;L_6ma;R_PFm;R_7AL;R_OFC;R_1,0.972011460958834
